dataset,split,classifier,tuned,accuracy,precision,recall,f1,auc_macro,cm_file,loss_file,best_params
wine_pca,0.7,MLP,False,0.9444444444444444,0.9416666666666668,0.946031746031746,0.943351691581432,0.995974395974396,/content/assignment_outputs/mlp/wine_pca_MLP_split70_cm_notuned.png,/content/assignment_outputs/mlp/wine_pca_MLP_split70_loss_notuned.png,
wine_pca,0.7,MLP,True,0.9814814814814816,0.9824561403508772,0.9841269841269842,0.982860909690178,0.9985569985569984,/content/assignment_outputs/mlp/wine_pca_MLP_split70_cm_tuned.png,/content/assignment_outputs/mlp/wine_pca_MLP_split70_loss_tuned.png,"{'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 200, 'momentum': 0.9}"
wine_pca,0.8,MLP,False,0.9722222222222222,0.977777777777778,0.9666666666666668,0.970961887477314,0.9989177489177488,/content/assignment_outputs/mlp/wine_pca_MLP_split80_cm_notuned.png,/content/assignment_outputs/mlp/wine_pca_MLP_split80_loss_notuned.png,
wine_pca,0.8,MLP,True,1.0,1.0,1.0,1.0,1.0,/content/assignment_outputs/mlp/wine_pca_MLP_split80_cm_tuned.png,/content/assignment_outputs/mlp/wine_pca_MLP_split80_loss_tuned.png,"{'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 200, 'momentum': 0.9}"
digits,0.5,RF,False,0.9588431590656284,0.9601358041139318,0.9587386817699892,0.9587594419886362,0.9972532796100264,/content/assignment_outputs/rf/digits_RF_split50_cm_notuned.png,,
digits,0.5,RF,True,0.9588431590656284,0.9601358041139318,0.9587386817699892,0.9587594419886362,0.9972532796100264,/content/assignment_outputs/rf/digits_RF_split50_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 100}"
digits,0.6,RF,False,0.9666203059805284,0.9676526158855384,0.9664068658526505,0.9665039134271026,0.9991610450821872,/content/assignment_outputs/rf/digits_RF_split60_cm_notuned.png,,
digits,0.6,RF,True,0.9666203059805284,0.9676526158855384,0.9664068658526505,0.9665039134271026,0.9991610450821872,/content/assignment_outputs/rf/digits_RF_split60_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 100}"
digits,0.7,RF,False,0.9685185185185186,0.9694497352099546,0.968158508158508,0.9682059832770196,0.9990655575693982,/content/assignment_outputs/rf/digits_RF_split70_cm_notuned.png,,
digits,0.7,RF,True,0.9648148148148148,0.965747794495302,0.9644172494172494,0.9644332681862264,0.9991783885509904,/content/assignment_outputs/rf/digits_RF_split70_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 200}"
digits,0.8,RF,False,0.9611111111111112,0.9619702683750672,0.9607099957099956,0.960721968766882,0.9991821220690644,/content/assignment_outputs/rf/digits_RF_split80_cm_notuned.png,,
digits,0.8,RF,True,0.9638888888888888,0.9647480461528448,0.9635671385671384,0.9635405712027532,0.999112778557888,/content/assignment_outputs/rf/digits_RF_split80_cm_tuned.png,,"{'max_depth': 10, 'n_estimators': 200}"
wine,0.5,RF,False,0.9775280898876404,0.9759139784946236,0.980952380952381,0.97792887646862,0.9977597156975688,/content/assignment_outputs/rf/wine_RF_split50_cm_notuned.png,,
wine,0.5,RF,True,0.9775280898876404,0.9759139784946236,0.980952380952381,0.97792887646862,0.9978104182906442,/content/assignment_outputs/rf/wine_RF_split50_cm_tuned.png,,"{'max_depth': None, 'n_estimators': 200}"
